ISIN,Symbol,Market,Url,PID
FR0004175099,ALTRO,France,https://www.investing.com/equities/tronics-microsystems-sa,945687
FR0010383877,ALTTI,France,https://www.investing.com/equities/travel-technology-interactive,945689
FR0010844001,ALEUA,France,https://www.investing.com/equities/eurasia-groupe-sa,945690
FR0010785790,ALPAT,France,https://www.investing.com/equities/plant-advanced-technologies-sa,949745
GB00BT9PTW34,MLIDP,France,https://www.investing.com/equities/innovaderma?cid=953071,953071
CA74375L1058,MLPRO,France,https://www.investing.com/equities/protektus-ag,953850
FR0012709160,ALUNT,France,https://www.investing.com/equities/uniti-sa,953851
FR0012633360,CLNV,France,https://www.investing.com/equities/cellnovo-group-sa,955877
PTGVE1AE0009,MLGEQ,France,https://www.investing.com/equities/gentlemens-equity-sa,955879
FR0012833770,MLVAL,France,https://www.investing.com/equities/valoneo-sasu,955881
CH0121668229,MLIFE,France,https://www.investing.com/equities/anlarop-development-ag,958273
FR0012859916,MLORC,France,https://www.investing.com/equities/orclass.com-sa,958275
FR0012968485,MLAEM,France,https://www.investing.com/equities/ashler-et-manson-sarl,958855
SE0007045380,MLDYH,France,https://www.investing.com/equities/design-your-home-holding-ab,958857
GB00BF553726,MLSKN,France,https://www.investing.com/equities/microskin-plc,958858
FR0011651819,ALFST,France,https://www.investing.com/equities/technofirst-sa,960705
FR0004177939,MLDTB,France,https://www.investing.com/equities/datbim-sa,960707
CH0299791381,MLOVE,France,https://www.investing.com/equities/4service-cloud-tech-ltd,960708
FR0013406881,MLCMG,France,https://www.investing.com/equities/compagnie-miniere-grecemar-sa,961655
FR0011092089,MLCLI,France,https://www.investing.com/equities/maison-clio-blue-sa,961772
FR0013072741,MLOSA,France,https://www.investing.com/equities/o-sorbet-damour-sa,963717
PTAZR0AM0006,MLAAT,France,https://www.investing.com/equities/azorean-aquatic-technologies-sa,963718
ES0105118006,ALQP,France,https://www.investing.com/equities/quadpack-industries-sa,976470
CH0309050059,MLSFI,France,https://www.investing.com/equities/bambu-ag,977684
FR0013155975,MLSDN,France,https://www.investing.com/equities/la-savonnerie-de-nyons-sa,980203
FR0000063976,STID,France,https://www.investing.com/equities/streit-mecanique-sa,985793
BE0974299316,ALINV,France,https://www.investing.com/equities/invibes-advertising-sasu,985973
FR0013180189,MLUTP,France,https://www.investing.com/equities/un-toit-pour-toi-sa,985974
FR0000076481,3CHN,France,https://www.investing.com/equities/les-trois-chenes-sa,989552
FR0010654087,ALTXC,France,https://www.investing.com/equities/txcom-sa,989554
FR0005057635,ARDPa,France,https://www.investing.com/equities/les-motocycles-ardoin-saint-amand,989555
FR0000051302,BLBP,France,https://www.investing.com/equities/financiere-hoche-bains-les-bains-sa,989557
FR0000060428,CHMS,France,https://www.investing.com/equities/compagnie-du-mont-blanc-sa,989558
FR0000065773,CHRA,France,https://www.investing.com/equities/imprimerie-chirat-sa,989559
FR0006205019,CSCE,France,https://www.investing.com/equities/lombard-et-medot-sa,989561
FR0000079824,DJTK,France,https://www.investing.com/equities/digitech-sa,989562
FR0000052920,DYND,France,https://www.investing.com/equities/dynafond-sa,989564
FR0000052755,EDDS,France,https://www.investing.com/equities/editions-du-signe-sa,989566
FR0000076960,KRNI,France,https://www.investing.com/equities/groupe-carnivor-sa,989569
FR0012395457,ML350,France,https://www.investing.com/equities/as-sa,989571
FR0010436170,MLBAT,France,https://www.investing.com/equities/batla-minerals-sa,989573
FR0010717579,MLCEC,France,https://www.investing.com/equities/cecurity-com-sa,989574
FR0010157115,MLERO,France,https://www.investing.com/equities/euroland-corporate-sa,989577
FR0010492181,MLETA,France,https://www.investing.com/equities/metalliance-sa,989578
CH0120879058,MLFIR,France,https://www.investing.com/equities/firstcaution-sa,989581
FR0010823724,MLFTI,France,https://www.investing.com/equities/france-tourisme-immobilier-sa,989582
FR0010487272,MLFXO,France,https://www.investing.com/equities/finaxo-environnement-sa,989583
BE0948833760,MLGES,France,https://www.investing.com/equities/green-energy-4-seasons-sa,989584
FR0011421817,MLLED,France,https://www.investing.com/equities/novaday-sas,989589
BE6252013725,MLMFI,France,https://www.investing.com/equities/medical-franchises-investments-nv,989590
FR0010882886,MLMON,France,https://www.investing.com/equities/monfinancier-sa,989591
FR0010106039,MLONE,France,https://www.investing.com/equities/body-one-sa,989593
FR0000185928,MLPFX,France,https://www.investing.com/equities/parfex-sa,989594
FR0010038570,MLRAM,France,https://www.investing.com/equities/raphael-michel-sa,989595
FR0010033480,MLVIS,France,https://www.investing.com/equities/visio-nerf-sa,989600
FR0010768770,MLWEY,France,https://www.investing.com/equities/weya-sa,989602
FR0010500363,NEWS,France,https://www.investing.com/equities/nicolas-miguet-et-associes-sa,989604
FR0010358507,NWZI,France,https://www.investing.com/equities/news-invest-sa,989605
FR0000057895,PGOA,France,https://www.investing.com/equities/pgo-automobiles-sa,989606
FR0000030769,PLAP,France,https://www.investing.com/equities/placoplatre-sa,989607
FR0000045601,ROBFi,France,https://www.investing.com/equities/robertet-sa,989608
FR0004038818,SION,France,https://www.investing.com/equities/simo-international-sa,989609
FR0005783503,UMHS,France,https://www.investing.com/equities/union-metallurgique-de-la-haute,989610
FR0013219367,ALHSW,France,https://www.investing.com/equities/horizontal-software-sas,994268
FR0013465747,MICPn,France,https://www.investing.com/equities/michelin-sca-nv,994725
FR0000077885,DRIS,France,https://www.investing.com/equities/damaris-sa,995707
FR0013230067,MLMMC,France,https://www.investing.com/equities/multimicrocloud-sa,995939
FR0013258589,ANTAL,France,https://www.investing.com/equities/antalis,1017261
FR0013251584,MLAHC,France,https://www.investing.com/equities/health-sas,1024886
FR0013284080,BUP,France,https://www.investing.com/equities/biom-up,1052245
FR0013253812,MLALV,France,https://www.investing.com/equities/alveen,1052263
FR0013328184,ALOXA,France,https://www.investing.com/equities/oxatis,1073232
NL0012650535,MLPRXP,France,https://www.investing.com/equities/parx-plastics,1081592
FR0013318052,ALORD,France,https://www.investing.com/equities/ordissimo,1082135
LU1840650458,MLGDI,France,https://www.investing.com/equities/guandao-puer,1095157
IT0005119109,ALMBG,France,https://www.investing.com/equities/mybest-group,1096029
ES0105399002,MLWRC,France,https://www.investing.com/equities/whiteni-r-cajal-socimi,1123800
FR0013419876,MLVAP,France,https://www.investing.com/equities/kumulus-vape-sa,1131239
HK0000038783,MLEAS,France,https://www.investing.com/equities/easson-holdings-ltd,1137597
ES0105422002,MLAGA,France,https://www.investing.com/equities/agartha-real-estate-socimi-sa,1141915
ES0105417002,MLIPO,France,https://www.investing.com/equities/iposa-properties,1142317
NL0012191662,ALPER,France,https://www.investing.com/equities/la-perla-fashion-holding,1152342
IT0005391161,MLIRF,France,https://www.investing.com/equities/innovative-rfk-spa,1156187
US00774B2088,AKOM,France,https://www.investing.com/equities/aerkomm-inc,1161777
ES0105029005,ALPHI,France,https://www.investing.com/equities/facephi-biometria-sa?cid=1161778,1161778
IT0005353484,ALSEI,France,https://www.investing.com/equities/societa-editoriale-il?cid=1161779,1161779
FR0000140063,BNPPp,France,https://www.investing.com/equities/bnp-paribas-sa,1161780
FR0000047722,BFCEp,France,https://www.investing.com/equities/natixis-sa,1161781
FR0000047805,CIFCp,France,https://www.investing.com/equities/credit-industriel-et-commercial-sa,1161784
FR0013462876,EUFIn,France,https://www.investing.com/equities/eurofins-scientific-se,1161785
FR0000037343,EEPCp,France,https://www.investing.com/equities/soc-d-explosifs-produits,1161786
FR0004166155,NR21,France,https://www.investing.com/equities/nr-21-sa,1161787
FR0000140030,SGOBp,France,https://www.investing.com/equities/compagnie-de-saint-gobain-sa,1161789
FR0000047607,SGOBpa,France,https://www.investing.com/equities/compagnie-de-saint-gobain-par,1161790
FR0011472943,VLS_p,France,https://www.investing.com/equities/valneva-se?cid=1161791,1161791
ES0105478004,MLAGP,France,https://www.investing.com/equities/agp-malaga-socimi-sa,1162797
ES0105492005,MLVRF,France,https://www.investing.com/equities/vref-seville-real-estate-holdco-soc,1164139
ES0105490009,MLORB,France,https://www.investing.com/equities/orbis-properties-socimi,1164140
ES0105486007,MLARO,France,https://www.investing.com/equities/aroca-del-pinar-socimi-sa,1165313
FR0013534617,ALECO,France,https://www.investing.com/equities/ecomiam-sa,1166410
ES0105498002,MLHAY,France,https://www.investing.com/equities/healthcare-activos-yield-socimi,1166563
FR00140006O9,LOCAL,France,https://www.investing.com/equities/solocal,7058
